Embarked,Class,Age,Fare,isFemale,survied
Southampton,3rd Class,21,16.1,male,0
Southampton,1rd Class,61,32.3208,male,0
Queenstown,2rd Class,57,12.35,male,0
Southampton,1rd Class,21,77.9583,female,1
Southampton,3rd Class,26,7.8958,male,0
Queenstown,3rd Class,29.69911765,7.7333,male,0
Southampton,1rd Class,80,30,male,1
Southampton,3rd Class,51,7.0542,male,0
Cherbourg,1rd Class,32,30.5,male,1
Southampton,1rd Class,29.69911765,0,male,0
Southampton,3rd Class,9,27.9,female,0
Southampton,2rd Class,28,13,female,1
Southampton,3rd Class,32,7.925,male,0
Southampton,2rd Class,31,26.25,male,0
Southampton,3rd Class,41,39.6875,female,0
Southampton,3rd Class,29.69911765,16.1,male,0
Southampton,3rd Class,20,7.8542,male,0
Cherbourg,1rd Class,24,69.3,female,1
Southampton,3rd Class,2,27.9,female,0
Southampton,3rd Class,29.69911765,56.4958,male,1
Cherbourg,3rd Class,0.75,19.2583,female,1
Cherbourg,1rd Class,48,76.7292,male,1
Southampton,3rd Class,19,7.8958,male,0
Cherbourg,1rd Class,56,35.5,male,1
Southampton,3rd Class,29.69911765,7.55,male,0
Southampton,3rd Class,23,7.55,female,1
Southampton,3rd Class,29.69911765,7.8958,male,0
Southampton,2rd Class,18,23,female,1
Southampton,3rd Class,21,8.4333,male,0
Queenstown,3rd Class,29.69911765,7.8292,female,1
Queenstown,3rd Class,18,6.75,female,0
Southampton,2rd Class,24,73.5,male,0
Southampton,3rd Class,29.69911765,7.8958,male,0
Queenstown,3rd Class,32,15.5,female,0
Southampton,2rd Class,23,13,male,0
Cherbourg,1rd Class,58,113.275,male,0
Southampton,1rd Class,50,133.65,male,1
Cherbourg,3rd Class,40,7.225,male,0
Southampton,1rd Class,47,25.5875,male,0
Southampton,3rd Class,36,7.4958,male,0
Southampton,3rd Class,20,7.925,male,1
Southampton,2rd Class,32,73.5,male,0
Southampton,2rd Class,25,13,male,0
Southampton,3rd Class,29.69911765,7.775,male,0
Southampton,3rd Class,43,8.05,male,0
Southampton,1rd Class,29.69911765,52,female,1
Southampton,2rd Class,40,39,female,1
Southampton,1rd Class,31,52,male,0
Southampton,2rd Class,70,10.5,male,0
Southampton,2rd Class,31,13,male,1
Southampton,2rd Class,29.69911765,0,male,0
Southampton,3rd Class,18,7.775,male,0
Southampton,3rd Class,24.5,8.05,male,0
Southampton,3rd Class,18,9.8417,female,1
Southampton,3rd Class,43,46.9,female,0
Cherbourg,1rd Class,36,512.3292,male,1
Queenstown,3rd Class,29.69911765,8.1375,female,0
Cherbourg,1rd Class,27,76.7292,male,1
Southampton,3rd Class,20,9.225,male,0
Southampton,3rd Class,14,46.9,male,0
Southampton,2rd Class,60,39,male,0
Cherbourg,2rd Class,25,41.5792,male,0
Southampton,3rd Class,14,39.6875,male,0
Southampton,3rd Class,19,10.1708,male,0
Southampton,3rd Class,18,7.7958,male,0
Southampton,1rd Class,15,211.3375,female,1
Southampton,1rd Class,31,57,male,1
Cherbourg,3rd Class,4,13.4167,female,1
Southampton,3rd Class,29.69911765,56.4958,male,1
Cherbourg,3rd Class,25,7.225,male,0
Southampton,1rd Class,60,26.55,male,0
Southampton,2rd Class,52,13.5,male,0
Southampton,3rd Class,44,8.05,male,0
Queenstown,3rd Class,29.69911765,7.7333,female,1
Cherbourg,1rd Class,49,110.8833,male,0
Southampton,3rd Class,42,7.65,male,0
Cherbourg,1rd Class,18,227.525,female,1
Southampton,1rd Class,35,26.2875,male,1
Cherbourg,3rd Class,18,14.4542,female,0
Queenstown,3rd Class,25,7.7417,male,0
Southampton,3rd Class,26,7.8542,male,0
Southampton,2rd Class,39,26,male,0
Southampton,2rd Class,45,13.5,female,1
Southampton,1rd Class,42,26.2875,male,1
Southampton,1rd Class,22,151.55,female,1
Cherbourg,3rd Class,29.69911765,15.2458,male,1
Cherbourg,1rd Class,24,49.5042,female,1
Southampton,1rd Class,29.69911765,26.55,male,0
Southampton,1rd Class,48,52,male,1
Southampton,3rd Class,29,9.4833,male,0
Southampton,2rd Class,52,13,male,0
Southampton,3rd Class,19,7.65,male,0
Cherbourg,1rd Class,38,227.525,female,1
Southampton,2rd Class,27,10.5,female,1
Queenstown,3rd Class,29.69911765,15.5,male,0
Southampton,3rd Class,33,7.775,male,0
Southampton,2rd Class,6,33,female,1
Southampton,3rd Class,17,7.0542,male,0
Southampton,2rd Class,34,13,male,0
Southampton,2rd Class,50,13,male,0
Southampton,1rd Class,27,53.1,male,1
Southampton,3rd Class,20,8.6625,male,0
Southampton,2rd Class,30,21,female,1
Queenstown,3rd Class,29.69911765,7.7375,female,1
Southampton,2rd Class,25,26,male,0
Southampton,3rd Class,25,7.925,female,0
Southampton,1rd Class,29,211.3375,female,1
Cherbourg,3rd Class,11,18.7875,male,0
Southampton,2rd Class,29.69911765,0,male,0
Southampton,2rd Class,23,13,male,0
Southampton,2rd Class,23,13,male,0
Southampton,3rd Class,28.5,16.1,male,0
Southampton,3rd Class,48,34.375,female,0
Cherbourg,1rd Class,35,512.3292,male,1
Southampton,3rd Class,29.69911765,7.8958,male,0
Southampton,3rd Class,29.69911765,7.8958,male,0
Southampton,1rd Class,29.69911765,30,male,1
Southampton,1rd Class,36,78.85,male,0
Cherbourg,1rd Class,21,262.375,female,1
Southampton,3rd Class,24,16.1,male,0
Southampton,3rd Class,31,7.925,male,1
Southampton,1rd Class,70,71,male,0
Southampton,3rd Class,16,20.25,male,0
Southampton,2rd Class,30,13,female,1
Southampton,1rd Class,19,53.1,male,0
Queenstown,3rd Class,31,7.75,male,0
Southampton,2rd Class,4,23,female,1
Southampton,3rd Class,6,12.475,male,1
Southampton,3rd Class,33,9.5,male,0
Southampton,3rd Class,23,7.8958,male,0
Southampton,2rd Class,48,65,female,1
Southampton,2rd Class,0.67,14.5,male,1
Southampton,3rd Class,28,7.7958,male,0
Southampton,2rd Class,18,11.5,male,0
Southampton,3rd Class,34,8.05,male,0
Southampton,1rd Class,33,86.5,female,1
Southampton,3rd Class,29.69911765,14.5,male,0
Southampton,3rd Class,41,7.125,male,0
Cherbourg,3rd Class,20,7.2292,male,1
Southampton,1rd Class,36,120,female,1
Southampton,3rd Class,16,7.775,male,0
Southampton,1rd Class,51,77.9583,female,1
Cherbourg,1rd Class,29.69911765,39.6,male,0
Queenstown,3rd Class,30.5,7.75,female,0
Queenstown,3rd Class,29.69911765,24.15,male,0
Southampton,3rd Class,32,8.3625,male,0
Southampton,3rd Class,24,9.5,male,0
Southampton,3rd Class,48,7.8542,male,0
Southampton,2rd Class,57,10.5,female,0
Cherbourg,3rd Class,29.69911765,7.225,male,0
Southampton,2rd Class,54,23,female,1
Southampton,3rd Class,18,7.75,male,0
Queenstown,3rd Class,29.69911765,7.75,male,0
Southampton,3rd Class,5,12.475,female,1
Queenstown,3rd Class,29.69911765,7.7375,male,0
Southampton,1rd Class,43,211.3375,female,1
Cherbourg,3rd Class,13,7.2292,female,1
Southampton,1rd Class,17,57,female,1
Southampton,1rd Class,29,30,male,0
Southampton,3rd Class,29.69911765,23.45,male,0
Southampton,3rd Class,25,7.05,male,0
Southampton,3rd Class,25,7.25,male,0
Southampton,3rd Class,18,7.4958,female,1
Queenstown,3rd Class,8,29.125,male,0
Southampton,3rd Class,1,20.575,male,1
Cherbourg,1rd Class,46,79.2,male,0
Queenstown,3rd Class,29.69911765,7.75,male,0
Southampton,2rd Class,16,26,male,0
Southampton,3rd Class,29.69911765,69.55,female,0
Cherbourg,1rd Class,29.69911765,30.6958,male,0
Southampton,3rd Class,25,7.8958,male,0
Southampton,2rd Class,39,13,male,0
Southampton,1rd Class,49,25.9292,female,1
Southampton,3rd Class,31,8.6833,female,1
Cherbourg,3rd Class,30,7.2292,male,0
Southampton,3rd Class,30,24.15,female,0
Southampton,2rd Class,34,13,male,0
Southampton,2rd Class,31,26.25,female,1
Southampton,1rd Class,11,120,male,1
Cherbourg,3rd Class,0.42,8.5167,male,1
Southampton,3rd Class,27,6.975,male,1
Southampton,3rd Class,31,7.775,male,0
Southampton,1rd Class,39,0,male,0
Southampton,3rd Class,18,7.775,female,0
Southampton,2rd Class,39,13,male,0
Southampton,1rd Class,33,53.1,female,1
Southampton,3rd Class,26,7.8875,male,0
Southampton,3rd Class,39,24.15,male,0
Southampton,2rd Class,35,10.5,male,0
Southampton,3rd Class,6,31.275,female,0
Southampton,3rd Class,30.5,8.05,male,0
Southampton,1rd Class,29.69911765,0,male,0
Southampton,3rd Class,23,7.925,female,0
Cherbourg,2rd Class,31,37.0042,male,0
Southampton,3rd Class,43,6.45,male,0
Southampton,3rd Class,10,27.9,male,0
Southampton,1rd Class,52,93.5,female,1
Southampton,3rd Class,27,8.6625,male,1
Southampton,1rd Class,38,0,male,0
Southampton,3rd Class,27,12.475,female,1
Southampton,3rd Class,2,39.6875,male,0
Queenstown,3rd Class,29.69911765,6.95,male,0
Southampton,3rd Class,29.69911765,56.4958,male,0
Cherbourg,2rd Class,1,37.0042,male,1
Queenstown,3rd Class,29.69911765,7.75,male,1
Unknown,1rd Class,62,80,female,1
Cherbourg,3rd Class,15,14.4542,female,1
Southampton,2rd Class,0.83,18.75,male,1
Cherbourg,3rd Class,29.69911765,7.2292,male,0
Southampton,3rd Class,23,7.8542,male,0
Southampton,3rd Class,18,8.3,male,0
Cherbourg,1rd Class,39,83.1583,female,1
Southampton,3rd Class,21,8.6625,male,0
Southampton,3rd Class,29.69911765,8.05,male,0
Southampton,3rd Class,32,56.4958,male,1
Cherbourg,1rd Class,29.69911765,29.7,male,1
Southampton,3rd Class,20,7.925,male,0
Southampton,2rd Class,16,10.5,male,0
Cherbourg,1rd Class,30,31,female,1
Cherbourg,3rd Class,34.5,6.4375,male,0
Southampton,3rd Class,17,8.6625,male,0
Southampton,3rd Class,42,7.55,male,0
Southampton,3rd Class,29.69911765,69.55,male,0
Cherbourg,3rd Class,35,7.8958,male,0
Southampton,2rd Class,28,33,male,0
Cherbourg,1rd Class,29.69911765,89.1042,female,1
Southampton,3rd Class,4,31.275,male,0
Southampton,3rd Class,74,7.775,male,0
Cherbourg,3rd Class,9,15.2458,female,0
Southampton,1rd Class,16,39.4,female,1
Southampton,2rd Class,44,26,female,0
Southampton,3rd Class,18,9.35,female,1
Southampton,1rd Class,45,164.8667,female,1
Southampton,1rd Class,51,26.55,male,1
Cherbourg,3rd Class,24,19.2583,female,1
Cherbourg,3rd Class,29.69911765,7.2292,male,0
Southampton,3rd Class,41,14.1083,male,0
Southampton,2rd Class,21,11.5,male,0
Southampton,1rd Class,48,25.9292,female,1
Southampton,3rd Class,29.69911765,69.55,female,0
Southampton,2rd Class,24,13,male,0
Southampton,2rd Class,42,13,female,1
Cherbourg,2rd Class,27,13.8583,female,1
Southampton,1rd Class,31,50.4958,male,0
Southampton,3rd Class,29.69911765,9.5,male,0
Southampton,3rd Class,4,11.1333,male,1
Southampton,3rd Class,26,7.8958,male,0
Southampton,1rd Class,47,52.5542,female,1
Southampton,1rd Class,33,5,male,0
Southampton,3rd Class,47,9,male,0
Cherbourg,2rd Class,28,24,female,1
Cherbourg,3rd Class,15,7.225,female,1
Southampton,3rd Class,20,9.8458,male,0
Southampton,3rd Class,19,7.8958,male,0
Southampton,3rd Class,29.69911765,7.8958,male,0
Cherbourg,1rd Class,56,83.1583,female,1
Southampton,2rd Class,25,26,female,1
Southampton,3rd Class,33,7.8958,male,0
Southampton,3rd Class,22,10.5167,female,0
Southampton,2rd Class,28,10.5,male,0
Southampton,3rd Class,25,7.05,male,0
Queenstown,3rd Class,39,29.125,female,0
Southampton,2rd Class,27,13,male,0
Southampton,1rd Class,19,30,female,1
Southampton,3rd Class,29.69911765,23.45,female,0
Cherbourg,1rd Class,26,30,male,1
Queenstown,3rd Class,32,7.75,male,0
